permit_number,permit_type_descr,permit_subtype_descr,date_entered,construction_cost,address,city,state,zip,contact,ivr_tracking_number,purpose,lat,lon,category
T2020034761,Building Residential - New,Single Family Residence,2020-06-04,,518 N 2ND ST,NASHVILLE,TN,37207,EASTEND CONTRACTING LLC,3830078,"to construct 2034SF single family residence. 5' min. side setback, 20' min. rear setback, front setback at 20.8' per avg. not to be over any easements.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.18049,-86.771778,Residential
T2020034763,Building Residential - New,Detached Accessory Dwelling Unit,2020-06-04,,516  2ND ST,NASHVILLE,TN,37207,EASTEND CONTRACTING LLC,3830086,"to construct 624SF detached accessory dwelling units to the rear of existing single family residence. 3' min. side setback, 10' min. rear setback, not to be over any easements. not to be sold separately.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property. 
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.180361,-86.771791,Residential
T2020034695,Building Residential - New,"Accessory Structure, Carport",2020-06-04,,319  CUMBERLAND AVE,MADISON,TN,37115,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),3829891,tax accessor records show first floor area of residence of 1730 sf living area.  this permit to construct a 20 x 39 detached carport to rear of residence.  not to be used for living or commercial purposes.  max allowed height is 16'.  5' min side s/b; 20' min rear s/b.  under 50% expansion.,36.267461,-86.706016,Residential
T2020034684,Building Residential - New,Single Family Residence,2020-06-04,,1100  ARGYLE AVE,NASHVILLE,TN,37203,"CADENCE CONSTRUCTION, LLC",3829836,"to construct 2771SF single family residence with 575SF garage and 196Sf porches. 15' min. right side setback, 5' min. left side setback, 20' min. rear setback, front setback at 34.3' per avg. unit 1 of 2. lot coverage is 1448SF of max 5172SF lot coverage. not to be over any easements. Max height 3 stories or 41.9�.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.137655,-86.7866,Residential
T2020034807,Building Residential - New,Duplex,2020-06-04,150000.0,1716  24TH AVE N,NASHVILLE,TN,37208,Listworthy LLC,3830182,none,36.177646,-86.815317,Residential
T2020034783,Building Residential - New,"Accessory Structure, Garage",2020-06-04,,6114A  PENNSYLVANIA AVE,NASHVILLE,TN,37209,CITY LIMITS CONSTRUCTION,3830147,"to construct 367SF detached garage to the rear of existing single family residence. 3' min. side setback, 10' min. rear setback, not to be over any easements. not to be used for living space or commercial purposes. Max height 16� to eave line.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.165592,-86.862341,Residential
T2020034701,Building Residential - New,"Accessory Structure, Garage",2020-06-04,30000.0,2603B  BELCOURT AVE,NASHVILLE,TN,37212,PHNX INC,3829901,"Build detached garage/ unfinished storage space-  7001st floor max allowed footprint.  not to be used for living or commercial purposes.  UZO.  max allowed knee wall height is 16'.  10' min rear s/b; 3' min side s/b.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.137029,-86.808489,Residential
T2020034620,Building Residential - New,Single Family Residence,2020-06-04,,504B  FOUNDATION CT,NASHVILLE,TN,37209,"MCKINNIS, SEAN",3829617,"parent parcel is map 90-16 parcel 212, is zoned R10, contains 11,326 sf lot area and is in a pre 1984 recorded subdivision.  this permit to unit A of proposed horizonal property line regime duplex with 2,333sqft of living space and 419sqft of garage space.  units detached.  max allowed height is 43.95'.  min required distance between structures is 6' min with no bump outs.  51.3' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",36.149492,-86.8808,Residential
T2020034696,Building Residential - New,Single Family Residence,2020-06-04,446000.0,2603  BELCOURT AVE,NASHVILLE,TN,37212,PHNX INC,3829872,"Build single family residence 1st Floor 2126 sq ft, 2nd floor 871 sq ft= 2997 sq 3 Bedrooms, 4 bathrooms 
Detached garage with storage space- Will be a seperate permit for the garage.  44.525' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.137029,-86.808489,Residential
T2020034714,Building Residential - New,Single Family Residence,2020-06-04,,1403  11TH AVE S,NASHVILLE,TN,37203,"CADENCE CONSTRUCTION, LLC",3829924,"to construct 2735SF single family residence with 575SF garage and 196Sf porches. 15' min. right side setback, 5' min. left side setback, 20' min. rear setback, front setback at 34.3' per avg. unit 1 of 2. lot coverage is 1448SF of max 5172SF lot coverage. not to be over any easements. Max height 3 stories or 41.9�.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.138135,-86.786327,Residential
