date_submitted,application_type_descr,mpc_case_number,ordinance_number,status,mpc_meeting_date,mpc_action,project_name,location,reviewer,case_descr,applicant,applicant_representative,latitude,longitude
2020-05-13,Rezoning,2020Z-079PR-001,,NEW,2020-07-23,,,1924 9TH AVE N 37208,Jason Swaggart,"A request to rezone from R6 to CS zoning for property located at 1924 9th Avenue North, approximately 90 feet south of Clay Street (0.19 acres), requested by Fulmer Lucas, applicant; Clay Street Commons LLC, owner.",Fulmer Engineering,Jackson LeBeau,36.18452372900003,-86.80302044999996
2020-05-26,Rezoning,2020Z-080PR-001,,NEW,2020-07-23,,,5516 THALMAN DR 37027,FRONT COUNTER,"A request to rezone from R15, R20, and R40 to RS15, RS20 and RS40 zoning for various properties located along Broadwell Drive, Woodhurst Drive, Bradfield Court, Granberry Heights Drive, Heather Lane, Heather Springs, Hill Road, Hill Road Circle, San Marcos Drive, Thalman Drive and Wakefield Drive (126.33 acres), requested by Councilmember Robert Swope, applicant; various owners.",Metro Council,Councilmember Robert Swope,36.048357646000056,-86.75780163799999
2020-02-24,Rezoning,2020Z-054PR-001,,NEW,2020-06-25,,,500 DOUGLAS AVE 37207,Joren Dunnavant,"A request to rezone from SP to R6 zoning for property located at 500 Douglas Avenue, approximately 100 feet east of North 5th Street (0.12 acres), requested by Brian Kirby, applicant and owner.",Brian Kirby,Brian Kirby,36.19391421500006,-86.76130128299998
2020-04-28,Rezoning,2020Z-072PR-001,,NEW,2020-06-25,,,1201 S GRAYCROFT AVE 37115,Logan Elliott,"A request to rezone from RS20 to ON zoning for property located at 1201 South Graycroft Avenue, at the southeast corner of West Due West Avenue and South Graycroft Avenue (1.04 acres), requested by Tune Entrekin and White PC, applicant; Traci Horst and Brent Horst, owners (see associated case 2020CP-004-001).","Tune Entrekin and White, PC",Shawn Henry,36.24889956700008,-86.73426882999996
2020-05-12,Rezoning,2020Z-077PR-001,,NEW,2020-06-25,,,1527 BAPTIST WORLD CENTER DR 37207,Amelia Lewis,"A request to rezone from RS5 to RM15-A-NS zoning for property located at 1527 Baptist World Center Drive, approximately 260 feet southeast of Seminary Street (0.34 acres), requested by Simons Properties LLC, applicant; Samuel Walker, owner.",SIMONS PROPERTIES LLC,John Rankin,36.200106436000056,-86.78577333799996
2020-05-11,Rezoning,2020Z-078PR-001,,NEW,2020-06-25,,,1304 JEFFERSON ST 37208,Abbie Rickoff,"A request to rezone from CS to MUL-A-NS zoning for properties located at 1300 and 1304 Jefferson Street, at the northwest corner of 14th Avenue North and Jefferson Street and located with the Jefferson Street Redevelopment District Overlay (0.34 acres), requested by Fulmer Engineering, applicant; WWCD QOZB, LLC, owner.",Fulmer Engineering,Jay Fulmer,36.17107434500008,-86.80099514399996
2020-04-14,Rezoning,2020Z-069PR-001,,NEW,2020-06-25,,,4000 ANDREW JACKSON PKWY 37076,Amelia Lewis,"A request to rezone from AR2a to CS zoning for property located at 4000 Andrew Jackson Parkway, at the northern corner of Andrew Jackson Parkway and Old Hickory Boulevard (13.06 acres), requested by Gresham Smith, applicant; Morgan Family Properties LLC Et Al, owner.",Gresham Smith,Levi Sciara,36.18560245000003,-86.61137012799999
2020-03-09,Rezoning,2020Z-059PR-001,,NEW,2020-06-25,,,5215 BLUE HOLE RD 37013,Amelia Lewis,"A request to rezone from AR2a to RM15 zoning for properties located at 5215 Blue Hole Road and Blue Hole Road (unnumbered), approximately 545 feet north of Bell Road (3.87 acres), requested by Catalyst Design Group, applicant; Michael Thomas, owner.",Catalyst Design Group,Jared Cunningham,36.047546012000055,-86.67388440399998
2020-03-09,Rezoning,2020Z-060PR-001,,NEW,2020-06-25,,,4011 DODSON CHAPEL RD 37076,Joren Dunnavant,"A request to rezone from R8 to MUL-A zoning for properties located at 4011, 4017 and 4023 Dodson Chapel Road, approximately 240 feet north of Central Pike (3.04 acres), requested by Dale and Associates, applicant; DSCT Dodson Chapel, owner.",Dale and Associates,Roy Dale,36.17632922200004,-86.61382225399996
2020-05-11,Rezoning,2020Z-075PR-001,,NEW,2020-06-25,,,1407 14TH AVE N 37208,Amelia Lewis,"A request to rezone from RS5 to R6-A zoning for property located at 1407 14th Avenue North, approximately 70 feet northwest of Heiman Street (0.19 acres), requested by CRD LLC, applicant; Mayvise Word, owner.",CRD LLC,Nevada Scott Davis,36.173303384000064,-86.80255723599998
