,address,city,state,zip
0,1037  LAWSONS RIDGE DR,NASHVILLE,TN,37218
1,812  BRIAR CIR,MADISON,TN,37115
2,9405  KAPLAN AVE,BRENTWOOD,TN,37027
3,4327  STONE HALL BLVD,HERMITAGE,TN,37076
4,544  LITTLE CHANNING WAY,NASHVILLE,TN,37212
5,554  LITTLE CHANNING WAY,NASHVILLE,TN,37212
6,550  LITTLE CHANNING WAY,NASHVILLE,TN,37212
7,548  LITTLE CHANNING WAY,NASHVILLE,TN,37212
8,542  LITTLE CHANNING WAY,NASHVILLE,TN,37212
9,546  LITTLE CHANNING WAY,NASHVILLE,TN,37212
10,601B  BRISTOL CREEK DR,NASHVILLE,TN,37221
11,552  LITTLE CHANNING WAY,NASHVILLE,TN,37212
12,2416  SERENE DR,ANTIOCH,TN,37013
13,500B  PATH ALY,NOLENSVILLE,TN,37215
14,6003A2  NEW YORK AVE,NASHVILLE,TN,37209
15,1062  NAVE CT,NASHVILLE,TN,37214
16,300  LOIS ALY,NASHVILLE,TN,37214
17,502B  PATH ALY,NOLENSVILLE,TN,37135
18,1004  TREVINO PL,ANTIOCH,TN,37013
19,1039  NAVE CT,NASHVILLE,TN,37214
20,2951  JENRY DR,NASHVILLE,TN,37214
21,2992  JENRY DR,NASHVILLE,TN,37214
22,1066  NAVE CT,NASHVILLE,TN,37214
23,1813B2  16TH AVE N,NASHVILLE,TN,37208
24,768  BRADBURN VILLAGE WAY,ANTIOCH,TN,37013
25,522  PATH ALY,NOLENSVILLE,TN,37135
26,518B  PATH ALY,NOLENSVILLE,TN,37135
27,506B  PATH ALY,NOLENSVILLE,TN,37135
28,2424  SERENE DR,ANTIOCH,TN,37013
29,5525  MULLIGAN CT,HERMITAGE,TN,37076
30,780  BRADBURN VILLAGE WAY,ANTIOCH,TN,37013
31,2428  SERENE DR,ANTIOCH,TN,37013
32,512B  PATH ALY,NOLENSVILLE,TN,37135
33,5529  MULLIGAN CT,HERMITAGE,TN,37076
34,3809  OCTOBER WOODS DR  101,ANTIOCH,TN,37013
35,1018  GRANBERY PARK DR,BRENTWOOD,TN,37027
36,4945  RIVERBANK DR,HERMITAGE,TN,37076
37,504B  PATH ALY,NOLENSVILLE,TN,37135
38,6046  BLACKBERRY RIDGE LN,HERMITAGE,TN,37076
39,4367  STONE HALL BLVD,HERMITAGE,TN,37076
40,5513  MULLIGAN CT,HERMITAGE,TN,37076
41,2025  CAREFREE LN,ANTIOCH,TN,37013
42,5521  MULLIGAN CT,HERMITAGE,TN,37076
43,4953  RIVERBANK DR,HERMITAGE,TN,37076
44,4320  STONE HALL BLVD,HERMITAGE,TN,37076
45,2432  SERENE DR,ANTIOCH,TN,37013
46,2021  CAREFREE LN,ANTIOCH,TN,37013
47,516B  PATH ALY,NOLENSVILLE,TN,37135
48,772  BRADBURN VILLAGE WAY,ANTIOCH,TN,37013
49,6003B2  NEW YORK AVE,NASHVILLE,TN,37209
50,520  CERET ALY,NASHVILLE,TN,37211
51,500  CERET ALY,NASHVILLE,TN,37211
52,6048  BLACKBERRY RIDGE LN,HERMITAGE,TN,37076
53,2133  PORTWAY ALY,NASHVILLE,TN,37207
54,950  BRITTANY PARK DR  400-441,ANTIOCH,TN,37013
55,508B  PATH ALY,NOLENSVILLE,TN,37135
56,7000  HARRIS HILLS LN  1,NASHVILLE,TN,37211
57,514B  PATH ALY,NOLENSVILLE,TN,37135
58,7000  HARRIS HILLS LN  3,NASHVILLE,TN,37211
59,770  BRADBURN VILLAGE WAY,ANTIOCH,TN,37013
60,774  BRADBURN VILLAGE WAY,ANTIOCH,TN,37013
61,945  FAIRDALE CT,NASHVILLE,TN,37221
62,520B  PATH ALY,NOLENSVILLE,TN,37135
63,1508  CARLYBROOKE LN,BRENTWOOD,TN,37027
64,778  BRADBURN VILLAGE WAY,ANTIOCH,TN,37013
65,881B  INDUSTRIAL DR,OLD HICKORY,TN,37138
66,776  BRADBURN VILLAGE WAY,ANTIOCH,TN,37013
67,540  LITTLE CHANNING WAY,NASHVILLE,TN,37212
68,1813A2  16TH AVE N,NASHVILLE,TN,37208
69,6098  HARRIS HILLS LN,NASHVILLE,TN,37211
70,7000  HARRIS HILLS LN  4,NASHVILLE,TN,37211
71,411  MERRITT ST  201,NASHVILLE,TN,37203
72,2012  CAREFREE LN,NASHVILLE,TN,37013
73,1328  TREE HOUSE DR,ANTIOCH,TN,37013
74,1048  NAVE CT,NASHVILLE,TN,37214
75,2963  JENRY DR,NASHVILLE,TN,37214
76,1032  NAVE CT,NASHVILLE,TN,37214
77,2420  SERENE DR,ANTIOCH,TN,37013
78,2016  CAREFREE LN,ANTIOCH,TN,37013
79,2017  CAREFREE LN,ANTIOCH,TN,37013
80,500  PATH ALY,NOLENSVILLE,TN,37135
81,506  PATH ALY,NOLENSVILLE,TN,37135
82,1201  SUMMER SHADE DR,ANTIOCH,TN,37013
83,1205  SUMMER SHADE DR,ANTIOCH,TN,37013
84,345  KARA LN,NOLENSVILLE,TN,37135
85,620  WALLACE CT,NASHVILLE,TN,37211
86,339  KARA LN,NOLENSVILLE,TN,37135
87,607  WALLACE CT,NASHVILLE,TN,37211
88,614  WALLACE CT,NASHVILLE,TN,37211
89,616  WALLACE CT,NASHVILLE,TN,37211
90,341  KARA LN,NOLENSVILLE,TN,37135
91,601  WALLACE CT,NASHVILLE,TN,37211
92,613  WALLACE CT,NASHVILLE,TN,37211
93,617  WALLACE CT,NASHVILLE,TN,37211
94,623  WALLACE CT,NASHVILLE,TN,37211
