permit_number,permit_type_descr,permit_subtype_descr,date_entered,date_issued,construction_cost,address,city,state,zip,contact,ivr_tracking_number,purpose,lat,lon,category,type_subtype
2020032483,Building Residential - New,Single Family Residence,2020-05-26,2020-06-04,185000.0,530  EDWIN ST  22,NASHVILLE,TN,37207,LEGACY SOUTH BUILDERS LLC,3823505,"To construct unit 22 - CAUO 2019024656.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.203789,-86.755262,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
2020008317,Building Residential - New,Single Family Residence,2020-02-06,2020-06-04,290299.0,6982  OLD HICKORY BLVD,WHITES CREEK,TN,37189,Gregory Construction Group,3757633,"New construction - Residential.  parcel is zoned AR2A and 4.26 acres.  80' min front s/b; 20' min side and rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.269651,-86.841697,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
2020031478,Building Residential - New,Single Family Residence,2020-05-20,2020-06-04,133364.0,4279  BERNARD RD,JOELTON,TN,37080,caleb hooper,3820819,"to construct 1100SF single family residence with. 20' min. side setback, 20' min. rear setback, front setback at over 120'. not to be over any easements.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.298408,-86.90233,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
2020027716,Building Commercial - New,"Building Contractor Supply, Storage S-1",2020-05-04,2020-06-04,300000.0,508  BENTON AVE,NASHVILLE,TN,37204,MESSER CONSTRUCTION CO,3811951,"Two temp construction trailers (2,614sf and 7,840sf) for MLS STADIUM.
POC MIEAH TURNER 615-925-2490",36.131572,-86.76729499999999,Commercial,"TYPE: Building Commercial - New SUBTYPE: Building Contractor Supply, Storage S-1"
2020032417,Building Residential - New,Single Family Residence,2020-05-26,2020-06-04,185000.0,530  EDWIN ST  20,NASHVILLE,TN,37207,LEGACY SOUTH BUILDERS LLC,3823402,"To construct unit 20 under CAUO 2019024656.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.203789,-86.755262,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
2020032439,Building Residential - New,Single Family Residence,2020-05-26,2020-06-04,185000.0,530  EDWIN ST  21,NASHVILLE,TN,37207,LEGACY SOUTH BUILDERS LLC,3823491,"To construct unit 21 - CAUO 2019024656.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.203789,-86.755262,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
2020032510,Building Residential - New,Single Family Residence,2020-05-26,2020-06-04,185000.0,530  EDWIN ST  25,NASHVILLE,TN,37207,LEGACY SOUTH BUILDERS LLC,3823641,"To construct unit 24 - CAUO 2019024656.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.203789,-86.755262,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
2020032522,Building Residential - New,Single Family Residence,2020-05-26,2020-06-04,180000.0,530  EDWIN ST  24,NASHVILLE,TN,37207,LEGACY SOUTH BUILDERS LLC,3823671,"To construct unit 24 - CAUO 2019024656.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.203789,-86.755262,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
2020032490,Building Residential - New,Single Family Residence,2020-05-26,2020-06-04,180000.0,530  EDWIN ST  23,NASHVILLE,TN,37207,LEGACY SOUTH BUILDERS LLC,3823625,"To construct unit 23 - CAUO 2019024656.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.203789,-86.755262,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
2020032526,Building Residential - New,Single Family Residence,2020-05-26,2020-06-04,180000.0,530  EDWIN ST  26,NASHVILLE,TN,37207,LEGACY SOUTH BUILDERS LLC,3823690,"To construct unit 26 - CAUO 2019024656.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.203789,-86.755262,Residential,TYPE: Building Residential - New SUBTYPE: Single Family Residence
2020033989,Building Residential - New,"Accessory Structure, Garage",2020-06-02,2020-06-04,27048.0,61  ELBERTA ST,NASHVILLE,TN,37210,THE OUTBACK BUILDER INC,3827796,"to construct a 20 x 28 detached garage to rear of residence.  not to be used for living or commercial purposes.  max allowed height is 16'.  10' min rear s/b per easement on recorded sub plat.  3' min side s/b.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.117787,-86.73723100000001,Residential,"TYPE: Building Residential - New SUBTYPE: Accessory Structure, Garage"
2020033978,Building Residential - New,"Accessory Structure, Garage",2020-06-02,2020-06-04,27821.0,1528  23RD AVE N,NASHVILLE,TN,37208,THE OUTBACK BUILDER INC,3827770,"to construct a 24 x 24 detached garage to rear of residence.  not to be used for living or commercial purposes.  corner lot.  UZO.  max allowed knee wall height is 16'.  10' min rear s/b; 10' min side street s/b; 3' min interior side s/b.  under 50% expansion.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.174312,-86.813172,Residential,"TYPE: Building Residential - New SUBTYPE: Accessory Structure, Garage"
2019071674,Building Commercial - New,"Multifamily, Townhome",2019-11-21,2020-06-04,1958819.0,400B  CLEVELAND ST,NASHVILLE,TN,37207,"AVENUE CONSTRUCTION, LLC",3734699,"construct 1300 sq.ft. commercial space with condo above also 7 townhomes for total of 8 residential units
POC JUSTIN CRANDALL 615-915-8288
Sidewalks ARE required for this project because this parcel is within the USD.
You are NOT eligible to contribute to the Pedestrian Benefit Zone in-lieu of construction because the parcel is within the UZO.
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.186632,-86.764336,Commercial,"TYPE: Building Commercial - New SUBTYPE: Multifamily, Townhome"
